actaea	magnoliid_dicot_genus|dicot_genus|genus|taxonomic_group|biological_group
acth	hormone|secretion|liquid_body_substance|body_substance|substance
actias	arthropod_genus|genus|taxonomic_group|biological_group
actifed	nasal_decongestant|antihistamine|decongestant|medicine|drug|agent|substance
actin	simple_protein|protein|macromolecule|organic_compound|molecule|compound|chemical|material|substance
actinaria	animal_order|order|taxonomic_group|biological_group
acting	performing_arts|activity|humanistic_discipline|act|discipline|event|knowledge_domain|content|cognition
actinia	coelenterate_genus|genus|taxonomic_group|biological_group
actinian	sea_anemone|anthozoan|coelenterate|invertebrate|animal|organism|living_thing
actiniaria	animal_order|order|taxonomic_group|biological_group
actiniarian	sea_anemone|anthozoan|coelenterate|invertebrate|animal|organism|living_thing
actinidia	dilleniid_dicot_genus|dicot_genus|genus|taxonomic_group|biological_group
actinidiaceae	dilleniid_dicot_family|dicot_family|family|taxonomic_group|biological_group
actiniopteris	fern_genus|genus|taxonomic_group|biological_group
actinism	property
actinium	chemical_element|substance
actinolite	amphibole|mineral|material|substance
actinomeris	asterid_dicot_genus|dicot_genus|genus|taxonomic_group|biological_group
actinometer	measuring_instrument|instrument|device|instrumentality|artifact
actinometry	measurement|activity|act|event
actinomyces	eubacteria|moneran|bacteria|microorganism|organism|living_thing
actinomycetaceae	bacteria_family|family|taxonomic_group|biological_group
actinomycetales	animal_order|order|taxonomic_group|biological_group
actinomycete	eubacteria|moneran|bacteria|microorganism|organism|living_thing
actinomycin	antibiotic|antibacterial|medicine|drug|agent|substance
actinomycosis	zoonosis|animal_disease|disease|illness|ill_health|pathological_state|physical_condition|condition
actinomyxidia	animal_order|order|taxonomic_group|biological_group
actinomyxidian	sporozoan|protozoan|protoctist|microorganism|organism|living_thing
actinopod	sarcodinian|protozoan|protoctist|microorganism|organism|living_thing
actinopoda	class|taxonomic_group|biological_group
actinotherapy	therapy|medical_care|treatment|care|work|activity|act|event
actinozoa	class|taxonomic_group|biological_group
actinozoan	coelenterate|invertebrate|animal|organism|living_thing
action	act|event
actitis	bird_genus|genus|taxonomic_group|biological_group
activase	thrombolytic|pharmaceutical|medicine|drug|agent|substance
activating	activity|act|event
activation	stimulation|natural_process|process
activator	substance
active	person|organism|living_thing
activeness	trait
activewear	attire|clothing|consumer_goods|covering|commodity|artifact
activism	policy|plan_of_action|plan|idea|content|cognition
activist	reformer|disputant|person|organism|living_thing
activity	act|event
actomyosin	protein|macromolecule|organic_compound|molecule|compound|chemical|material|substance
actor	performer|entertainer|person|organism|living_thing
actress	actor|performer|entertainer|person|organism|living_thing
actualisation	creating_by_mental_acts|creation|activity|act|event
actuality	being|state
actualization	creating_by_mental_acts|creation|activity|act|event
actuary	calculator|expert|person|organism|living_thing
actuation	act|event
actuator	mechanism|device|instrumentality|artifact
